,abv,ibu,id,name,style,brewery_id,ounces
0,0.05,,1436,Pub Beer,American Pale Lager,408,12
1,0.066,,2265,Devil's Cup,American Pale Ale (APA),177,12
2,0.071,,2264,Rise of the Phoenix,American IPA,177,12
3,0.075,,2262,Sex and Candy,American IPA,177,12
4,0.077,,2261,Black Exodus,Oatmeal Stout,177,12
5,0.045,,2260,Lake Street Express,American Pale Ale (APA),177,12
6,0.065,,2259,Foreman,American Porter,177,12
7,0.055,,2258,Jade,American Pale Ale (APA),177,12
8,0.072,,2099,Sophomoric Saison,Saison / Farmhouse Ale,177,12
9,0.073,,2098,Regional Ring Of Fire,Saison / Farmhouse Ale,177,12
10,0.069,,2097,Garce Selé,Saison / Farmhouse Ale,177,12
11,0.061,60,1979,Bitter Bitch,American Pale Ale (APA),177,12
12,0.06,,2318,Ginja Ninja,Cider,154,12
13,0.06,,2170,Cherried Away,Cider,154,12
14,0.06,,2169,Rhubarbarian,Cider,154,12
15,0.06,,1502,BrightCider,Cider,154,12
16,0.082,,1593,He Said Baltic-Style Porter,Baltic Porter,368,12
17,0.082,,1592,He Said Belgian-Style Tripel,Tripel,368,12
18,0.079,45,1024,Fireside Chat,Winter Warmer,368,12
19,0.079,,976,Marooned On Hog Island,American Stout,368,12
20,0.044,42,876,Bitter American,American Pale Ale (APA),368,12
21,0.049,17,802,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12
22,0.049,17,801,Hell or High Watermelon Wheat (2009),Fruit / Vegetable Beer,368,12
23,0.049,17,800,21st Amendment Watermelon Wheat Beer (2006),Fruit / Vegetable Beer,368,12
24,0.07,70,799,21st Amendment IPA (2006),American IPA,368,12
25,0.07,70,797,Brew Free! or Die IPA (2008),American IPA,368,12
26,0.07,70,796,Brew Free! or Die IPA (2009),American IPA,368,12
27,0.044,42,353,Bitter American (2011),American Pale Ale (APA),368,12
28,0.079,45,321,Fireside Chat (2010),Winter Warmer,368,12
29,0.068,65,173,Back in Black,American Black Ale,368,12
30,0.083,35,11,Monk's Blood,Belgian Dark Ale,368,12
31,0.07,65,10,Brew Free! or Die IPA,American IPA,368,12
32,0.049,17,9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,368,12
